id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1152098086388477952,Fri Jul 19 06:09:23 +0000 2019,"<a href=""https://www.calcaware.com/"" rel=""nofollow"">Calcaware</a>",RT @EdgeTechRec: The Enterprise Tech 30: an exclusive list of the most promising private companies in enterprise tech! https://t.co/CJ4Ivl0…,RT EdgeTechRec The Enterprise Tech 30 exclusive list promising private companies enterprise tech https //t.co/CJ4Ivl0…,"Sentiment(polarity=0.1, subjectivity=0.4375)",0.1,0.4375,en,0,2,Calcaware,,,EdgeTechRec,"Austin, TX",
1152097996068270080,Fri Jul 19 06:09:01 +0000 2019,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",The Enterprise Tech 30: an exclusive list of the most promising private companies in enterprise tech!… https://t.co/6aCyJuqZ5h,The Enterprise Tech 30 exclusive list promising private companies enterprise tech … https //t.co/6aCyJuqZ5h,"Sentiment(polarity=0.1, subjectivity=0.4375)",0.1,0.4375,en,0,2,EdgeTechRec,False,,,"Silverstone, England",
1152097967081324545,Fri Jul 19 06:08:54 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @Nathealings: These farm-loving #robots could change the future of #agriculture @mashable #AI #Robotics #DigitalTransformation #MachineL…,RT Nathealings These farm-loving robots could change future agriculture mashable AI Robotics DigitalTransformation MachineL…,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,0.125,en,0,13,ImBrgv,,"robots, agriculture, AI, Robotics, DigitalTransformation","Nathealings, mashable","Ahmadabad City, Gujarat",
1152097953043140610,Fri Jul 19 06:08:51 +0000 2019,"<a href=""http://www.pivotcloudsolutions.com"" rel=""nofollow"">PCStwitterApp</a>","RT @Ungoti: The competing forces shaping 2030 in the #FutureOfWork
https://t.co/JUZlSGNngQ  
via @pwc @MikeQuindazzi 
#digitalworkplace #CI…",RT Ungoti The competing forces shaping 2030 FutureOfWork https //t.co/JUZlSGNngQ via pwc MikeQuindazzi digitalworkplace CI…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,9,pivotcloud,False,"FutureOfWork, digitalworkplace","Ungoti, PwC, MikeQuindazzi",Ireland,
1152097830602969090,Fri Jul 19 06:08:22 +0000 2019,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @Ronald_vanLoon: This is the first ever #3d printed heart model
by @TheFuturist007 |

#3Dprinting #HealthTech #AI #IoT #Innovation #Arti…",RT Ronald_vanLoon This first ever 3d printed heart model TheFuturist007 3Dprinting HealthTech AI IoT Innovation Arti…,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)",0.25,0.3333333333333333,en,0,58,Rgonzalezt,,"3d, 3Dprinting, HealthTech, AI, IoT, Innovation","Ronald_vanLoon, TheFuturist007",Barcelona,
1152097723484659712,Fri Jul 19 06:07:56 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @Claire_Harris82: 8 ways digital can fuel #DigitalTransformation to drive productivity &amp; accelerate growth. via @antgrasso @ravikikan #a…,RT Claire_Harris82 8 ways digital fuel DigitalTransformation drive productivity amp accelerate growth via antgrasso ravikikan a…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,12,eezytool,,DigitalTransformation,"Claire_Harris82, antgrasso, ravikikan","Basel, Schweiz",
1152097649736200192,Fri Jul 19 06:07:39 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @venture_health: The availability and accessibility of various digital health apps and tools help in early diagnosis and treatment of de…,RT venture_health The availability accessibility various digital health apps tools help early diagnosis treatment de…,"Sentiment(polarity=0.03333333333333333, subjectivity=0.26666666666666666)",0.03333333333333333,0.26666666666666666,en,0,1,thehilloxford,,,venture_health,"Oxford, UK",
1152097625644027906,Fri Jul 19 06:07:33 +0000 2019,"<a href=""https://www.thomashilbig.com/"" rel=""nofollow"">TheBigDataBot</a>","RT @Claire_Harris82: The New Cardinal Rules of #IoT Adoption #Infographics via @essec @ipfconline1 ht @Ronald_vanLoon 
#IoT #InternetofThin…",RT Claire_Harris82 The New Cardinal Rules IoT Adoption Infographics via essec ipfconline1 ht Ronald_vanLoon IoT InternetofThin…,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,en,0,16,thomashilbig2,,"IoT, Infographics, IoT","Claire_Harris82, essec, ipfconline1, Ronald_vanLoon",,
1152097613883346945,Fri Jul 19 06:07:30 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @antgrasso: Collaboration between financial technology startups and established banks sounds good in theory, but may be difficult in pra…",RT antgrasso Collaboration financial technology startups established banks sounds good theory may difficult pra…,"Sentiment(polarity=0.06666666666666665, subjectivity=0.5333333333333333)",0.06666666666666665,0.5333333333333333,en,0,22,floriansemle,,,antgrasso,Munich,
1152097508820168704,Fri Jul 19 06:07:05 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Ronald_vanLoon: #Robot that allows you to be an avatar in real life
by @VRScout |

#VirtualReality #VR #AR #AugmentedReality #DigitalTr…",RT Ronald_vanLoon Robot allows avatar real life VRScout VirtualReality VR AR AugmentedReality DigitalTr…,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",0.2,0.30000000000000004,en,0,79,MariaImranpak,,"Robot, VirtualReality, VR, AR, AugmentedReality","Ronald_vanLoon, VRScout","Dubai, United Arab Emirates",
1152097480831467521,Fri Jul 19 06:06:59 +0000 2019,"<a href=""https://twitter.bot"" rel=""nofollow"">jayeshthakur</a>","RT @Ronald_vanLoon: 100 Startups using #ArtificialIntelligence to transform industries [#INFOGRAPHICS] 
 by @CBinsights | 

Read more at…",RT Ronald_vanLoon 100 Startups using ArtificialIntelligence transform industries INFOGRAPHICS CBinsights Read at…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,22,jayeshmthakur,,"ArtificialIntelligence, INFOGRAPHICS","Ronald_vanLoon, CBinsights",::1,
1152097463022624768,Fri Jul 19 06:06:54 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @antgrasso: Artificial Intelligence can collaborate with humans as effective partner in complex work and as substitute in routine labor.…,RT antgrasso Artificial Intelligence collaborate humans effective partner complex work substitute routine labor.…,"Sentiment(polarity=-0.09999999999999999, subjectivity=0.7333333333333334)",-0.09999999999999999,0.7333333333333334,en,0,7,floriansemle,,,antgrasso,Munich,
1152097371284578304,Fri Jul 19 06:06:32 +0000 2019,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @HarbRimah: #Automation, #robotics and #AI are dramatically changing the nature and number of jobs available and the #futureofwork  
@Mi…",RT HarbRimah Automation robotics AI dramatically changing nature number jobs available futureofwork Mi…,"Sentiment(polarity=0.4, subjectivity=0.4)",0.4,0.4,en,0,6,Claire_Harris82,,"Automation, robotics, AI, futureofwork",HarbRimah,"Johns Creek, GA",
1152097355363168257,Fri Jul 19 06:06:29 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Ronald_vanLoon: For the first time ever scientists used tiny #robots to cure infections
by @wef |

#InternetOfThings #IoT #ArtificialIn…",RT Ronald_vanLoon For first time ever scientists used tiny robots cure infections wef InternetOfThings IoT ArtificialIn…,"Sentiment(polarity=0.125, subjectivity=0.41666666666666663)",0.125,0.41666666666666663,en,0,64,mkaramantrakya,,"robots, InternetOfThings, IoT","Ronald_vanLoon, wef",,
1152097311415308289,Fri Jul 19 06:06:18 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @TamaraMcCleary: Bill Gates says that #AI will change software in ways we haven’t even begun to see https://t.co/9OCa3DPmet via @FastCom…,RT TamaraMcCleary Bill Gates says AI change software ways ’ even begun see https //t.co/9OCa3DPmet via FastCom…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,4,eezytool,False,AI,TamaraMcCleary,"Basel, Schweiz",
1152097274874486784,Fri Jul 19 06:06:09 +0000 2019,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Wyndhams digital innovation elevates the customer experience. (CIO) #DigitalTransformation #CX… https://t.co/KPIBp0UaU3,Wyndhams digital innovation elevates customer experience CIO DigitalTransformation CX… https //t.co/KPIBp0UaU3,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,jamesvgingerich,False,"DigitalTransformation, CX",,"Waterloo, Ontario Canada",
